sentence,sentiment
今日は朝から曇り空だった,1
起きた瞬間に、外の光がぼんやりしているのを見て、なんとなくテンションが上がらなかった,0
いつもより少し遅めに起きたせいで、朝食はバタバタしてしまった,2
母が作ってくれた卵焼きと味噌汁を急いで口に運びながら、カバンの中身を最終確認,1
筆箱、ノート、提出課題、全部入っているはず…と思っていたら、数学のプリントを机に置きっぱなしだったことに気づいた,2
慌てて部屋に戻り、プリントをつかんでまた玄関へ,2
いつも通り、ギリギリで家を飛び出した,1
駅に着くと、ちょうど電車が来るところだった,1
乗り込んでから気づいたけれど、今日は少し混んでいて、立っている人も多かった,2
吊革を握りながら、窓の外をぼーっと眺める,1
電車が走るたびに、駅の名前がアナウンスされ、風景が流れていく,1
その中で、今日の授業のことを少しずつ思い出していった,1
学校に着いたのは、ちょうど始業5分前,1
急いで教室に入ると、クラスメートが何人か話していた,1
自分の席に着くと、隣の席の佐藤くんが「遅刻ギリギリだったね」と笑って声をかけてくれた,2
私はちょっと照れながら「うん、やばかった」と返した,2
そういう何気ない会話が、案外うれしかったりする,0
1時間目は国語だった,1
今日は古文の授業で、「伊勢物語」の一節を読んだ,1
先生の説明は面白くて、言葉の一つひとつに深い意味があることに驚いた,0
和歌の解釈では、何人かが自分の解釈を発表していて、私も勇気を出して手を挙げてみた,0
少し緊張したけど、先生に「いい視点だね」と言ってもらえて、心の中で小さくガッツポーズした,1
2時間目は数学,1
授業内容は一次関数の応用問題で、少し難しかった,2
グラフの読み取りが苦手で、板書を写しながらも、何度か手が止まってしまった,2
授業後に先生に質問しに行くと、丁寧に説明してくれて、少しずつ理解できた,0
こういう時、やっぱり聞くことって大事だと実感する,0
3時間目は体育,1
今日は体育館でバスケットボールをやった,1
チームに分かれて試合形式でプレーしたけれど、私はあまり得意ではなくて、ちょっと緊張していた,2
でも、パスをもらってゴールに向かってシュートしたら、奇跡的に入った,0
仲間が「ナイス！」と声をかけてくれて、本当に嬉しかった,0
4時間目は理科,1
電流と電圧の単元で、実験も交えながらの授業だった,1
豆電球をつないだ回路を組み立てて、明るさの違いを観察するというもの,0
うまくつながらなくて焦ったけど、グループで協力して乗り越えた,0
理科は難しいけれど、こうして体験しながら学ぶと楽しくなるから不思議,0
お昼の時間になると、教室が一気ににぎやかになった,0
お弁当を広げて、友達とおしゃべりしながら食べる時間は、授業とはまた違う楽しみ,0
今日の弁当には、母の手作りの唐揚げが入っていて、友達が「おいしそう」と言ってくれたので、ひとつ分けてあげた,0
そんな小さなやりとりが、なんだか温かかった,1
午後は英語の授業からスタート,1
今日はスピーキングの練習で、ペアを作って短い会話を交わす内容だった,1
英語を話すのはまだ少し恥ずかしいけど、回数を重ねるごとに慣れてきた気がする,1
